plot_order,LAT,LON,H_LI, FILLED
205,-66.08192,-61.92929,54.02893,54.10479
206,-66.08174,-61.92924,54.04696,54.10479
207,-66.08156,-61.92919,54.07027,54.10479
208,-66.08139,-61.92914,54.09283,54.10479
209,-66.08121,-61.92909,54.09557,54.10479
210,-66.08103,-61.92904,54.10371,54.10479
211,-66.08085,-61.92899,54.11493,54.11493
212,-66.08068,-61.92894,54.08132,54.11493
213,-66.0805,-61.92889,54.07448,54.11493
214,-66.08032,-61.92884,54.10379,54.11493
215,-66.08014,-61.92879,54.09588,54.11493
216,-66.07997,-61.92874,54.06279,54.11493
217,-66.07979,-61.92869,54.07098,54.11493
218,-66.07961,-61.92864,54.09044,54.11493
219,-66.07943,-61.92859,54.05797,54.11493
220,-66.07926,-61.92854,54.01865,54.11493
221,-66.07908,-61.92849,54.02805,54.11493
222,-66.0789,-61.92844,54.03511,54.11493
223,-66.07872,-61.92839,54.04627,54.11493
224,-66.07855,-61.92834,54.0556,54.11493
225,-66.07837,-61.9283,54.03415,54.11493
226,-66.07819,-61.92825,54.03344,54.11493
227,-66.07801,-61.92819,54.03693,54.11493
228,-66.07784,-61.92814,54.02266,54.11493
229,-66.07766,-61.92809,54.03275,54.11493
230,-66.07748,-61.92804,54.0233,54.11493
231,-66.0773,-61.92799,54.00601,54.11493
232,-66.07713,-61.92794,53.97224,54.11493
233,-66.07695,-61.92789,53.92455,54.11493
234,-66.07677,-61.92784,53.92895,54.11493
235,-66.07659,-61.92779,53.92102,54.11493
236,-66.07642,-61.92774,53.89548,54.11493
237,-66.07624,-61.92769,53.88394,54.11493
238,-66.07606,-61.92764,53.87608,54.11493
239,-66.07588,-61.92759,53.88491,54.11493
240,-66.07571,-61.92754,53.87812,54.11493
241,-66.07553,-61.92749,53.86033,54.11493
242,-66.07535,-61.92744,53.84845,54.11493
243,-66.07517,-61.92739,53.85756,54.11493
244,-66.075,-61.92734,53.84945,54.11493
245,-66.07482,-61.92729,53.83019,54.11493
246,-66.07464,-61.92724,53.79707,54.11493
247,-66.07446,-61.92719,53.74982,54.11493
248,-66.07429,-61.92714,53.69863,54.11493
249,-66.07411,-61.92709,53.67298,54.11493
250,-66.07393,-61.92704,53.65233,54.11493
251,-66.07375,-61.92699,53.62275,54.11493
252,-66.07358,-61.92694,53.58997,54.11493
253,-66.0734,-61.92689,53.55379,54.11493
254,-66.07322,-61.92684,53.54307,54.11493
255,-66.07304,-61.92679,53.54325,54.11493
256,-66.07287,-61.92674,53.53101,54.11493
257,-66.07269,-61.92669,53.50496,54.11493
258,-66.07251,-61.92664,53.48458,54.11493
259,-66.07234,-61.92659,53.48433,54.11493
260,-66.07216,-61.92654,53.47589,54.11493
261,-66.07198,-61.92649,53.45591,54.11493
262,-66.0718,-61.92644,53.43568,54.11493
263,-66.07163,-61.92639,53.46953,54.11493
264,-66.07145,-61.92634,53.51167,54.11493
265,-66.07127,-61.92629,53.52355,54.11493
266,-66.07109,-61.92624,53.52164,54.11493
267,-66.07092,-61.92619,53.53003,54.11493
268,-66.07074,-61.92614,53.52427,54.11493
269,-66.07056,-61.92609,53.52913,54.11493
270,-66.07038,-61.92604,53.53766,54.11493
271,-66.07021,-61.92599,53.51477,54.11493
272,-66.07003,-61.92594,53.49844,54.11493
273,-66.06985,-61.92589,53.4993,54.11493
274,-66.06967,-61.92584,53.48975,54.11493
275,-66.0695,-61.92579,53.47442,54.11493
276,-66.06932,-61.92574,53.46783,54.11493
277,-66.06914,-61.92569,53.4605,54.11493
278,-66.06896,-61.92564,53.43839,54.11493
279,-66.06879,-61.92559,53.40913,54.11493
280,-66.06861,-61.92554,53.39402,54.11493
281,-66.06843,-61.92549,53.34075,54.11493
282,-66.06825,-61.92544,53.31791,54.11493
283,-66.06808,-61.92539,53.30227,54.11493
284,-66.0679,-61.92534,53.25488,54.11493
285,-66.06772,-61.92529,53.21847,54.11493
286,-66.06754,-61.92524,53.17568,54.11493
287,-66.06737,-61.92519,53.12717,54.11493
288,-66.06719,-61.92514,53.07408,54.11493
289,-66.06701,-61.92509,53.02379,54.11493
290,-66.06683,-61.92504,52.99098,54.11493
291,-66.06666,-61.92499,52.96523,54.11493
292,-66.06648,-61.92494,52.91856,54.11493
293,-66.0663,-61.92489,52.89138,54.11493
294,-66.06612,-61.92484,52.85955,54.11493
295,-66.06595,-61.92479,52.80264,54.11493
296,-66.06577,-61.92474,52.72963,54.11493
297,-66.06559,-61.92469,52.70104,54.11493
298,-66.06541,-61.92464,52.71833,54.11493
299,-66.06524,-61.92459,52.6936,54.11493
300,-66.06506,-61.92454,52.66832,54.11493
301,-66.06488,-61.92449,52.67122,54.11493
302,-66.0647,-61.92444,52.67845,54.11493
303,-66.06453,-61.92439,52.65778,54.11493
304,-66.06435,-61.92434,52.6302,54.11493
305,-66.06417,-61.92429,52.59739,54.11493
306,-66.06399,-61.92424,52.56722,54.11493
307,-66.06382,-61.92419,52.54602,54.11493
308,-66.06364,-61.92414,52.53424,54.11493
309,-66.06346,-61.92409,52.52718,54.11493
310,-66.06328,-61.92404,52.52237,54.11493
311,-66.06311,-61.92399,52.51868,54.11493
312,-66.06293,-61.92394,52.50314,54.11493
313,-66.06275,-61.92389,52.47265,54.11493
314,-66.06257,-61.92384,52.4327,54.11493
315,-66.0624,-61.92379,52.41999,54.11493
316,-66.06222,-61.92375,52.42151,54.11493
317,-66.06204,-61.9237,52.41619,54.11493
318,-66.06186,-61.92365,52.37832,54.11493
319,-66.06169,-61.9236,52.32001,54.11493
320,-66.06151,-61.92355,52.30392,54.11493
321,-66.06133,-61.9235,52.31207,54.11493
322,-66.06115,-61.92345,52.30229,54.11493
323,-66.06098,-61.9234,52.31381,54.11493
324,-66.0608,-61.92335,52.32566,54.11493
325,-66.06062,-61.9233,52.34532,54.11493
326,-66.06044,-61.92325,52.36062,54.11493
327,-66.06027,-61.9232,52.36927,54.11493
328,-66.06009,-61.92315,52.3394,54.11493
329,-66.05991,-61.9231,52.28815,54.11493
330,-66.05973,-61.92305,52.26889,54.11493
331,-66.05956,-61.923,52.25575,54.11493
332,-66.05938,-61.92295,52.23836,54.11493
333,-66.0592,-61.9229,52.24706,54.11493
334,-66.05903,-61.92285,52.2157,54.11493
335,-66.05885,-61.9228,52.18262,54.11493
336,-66.05867,-61.92275,52.18221,54.11493
337,-66.05849,-61.9227,52.18605,54.11493
338,-66.05832,-61.92265,52.17777,54.11493
339,-66.05814,-61.9226,52.174,54.11493
340,-66.05796,-61.92255,52.17038,54.11493
341,-66.05778,-61.9225,52.16156,54.11493
342,-66.05761,-61.92244,52.18106,54.11493
343,-66.05743,-61.92239,52.22376,54.11493
344,-66.05725,-61.92234,52.24698,54.11493
345,-66.05707,-61.92229,52.25753,54.11493
346,-66.0569,-61.92225,52.24781,54.11493
347,-66.05672,-61.9222,52.24262,54.11493
348,-66.05654,-61.92215,52.24279,54.11493
349,-66.05636,-61.9221,52.21368,54.11493
350,-66.05619,-61.92205,52.22318,54.11493
351,-66.05601,-61.922,52.24284,54.11493
352,-66.05583,-61.92195,52.26075,54.11493
353,-66.05565,-61.9219,52.27002,54.11493
354,-66.05548,-61.92185,52.24193,54.11493
355,-66.0553,-61.9218,52.20896,54.11493
356,-66.05512,-61.92175,52.18114,54.11493
357,-66.05494,-61.9217,52.17431,54.11493
358,-66.05477,-61.92165,52.16271,54.11493
359,-66.05459,-61.9216,52.16803,54.11493
360,-66.05441,-61.92155,52.18843,54.11493
361,-66.05423,-61.9215,52.19175,54.11493
362,-66.05406,-61.92145,52.19703,54.11493
363,-66.05388,-61.9214,52.18466,54.11493
364,-66.0537,-61.92135,52.14109,54.11493
365,-66.05352,-61.92131,52.11394,54.11493
366,-66.05335,-61.92126,52.10984,54.11493
367,-66.05317,-61.92121,52.10655,54.11493
368,-66.05299,-61.92116,52.10199,54.11493
369,-66.05281,-61.92111,52.11097,54.11493
370,-66.05264,-61.92106,52.09934,54.11493
371,-66.05246,-61.92101,52.10025,54.11493
372,-66.05228,-61.92096,52.10804,54.11493
373,-66.0521,-61.92091,52.10078,54.11493
374,-66.05193,-61.92086,52.07097,54.11493
375,-66.05175,-61.92081,52.05182,54.11493
376,-66.05157,-61.92076,52.03537,54.11493
377,-66.05139,-61.92071,52.02425,54.11493
378,-66.05122,-61.92066,52.02657,54.11493
379,-66.05104,-61.92061,52.02829,54.11493
380,-66.05086,-61.92056,52.00063,54.11493
381,-66.05068,-61.92051,51.96769,54.11493
382,-66.05051,-61.92046,51.94007,54.11493
383,-66.05033,-61.92041,51.94958,54.11493
384,-66.05015,-61.92036,51.97691,54.11493
385,-66.04997,-61.92031,51.97541,54.11493
386,-66.0498,-61.92026,51.97506,54.11493
387,-66.04962,-61.92021,51.95457,54.11493
388,-66.04944,-61.92016,51.9164,54.11493
389,-66.04926,-61.92011,51.9072,54.11493
390,-66.04909,-61.92006,51.91862,54.11493
391,-66.04891,-61.92001,51.93732,54.11493
392,-66.04873,-61.91996,51.92014,54.11493
393,-66.04855,-61.91991,51.89175,54.11493
394,-66.04838,-61.91986,51.88192,54.11493
395,-66.0482,-61.91981,51.88683,54.11493
396,-66.04802,-61.91976,51.89155,54.11493
397,-66.04784,-61.91971,51.89408,54.11493
