plot_order,LAT,LON,H_LI,LEVEL-1
216,-66.13178,-61.94334,69.76875,69.76875
217,-66.13161,-61.94329,68.91302,68.91302
218,-66.13143,-61.94325,68.07881,68.07881
219,-66.13125,-61.9432,67.27952,67.27952
220,-66.13107,-61.94315,66.43284,66.43284
221,-66.1309,-61.9431,65.56749,65.56749
222,-66.13072,-61.94305,64.72003,64.72003
223,-66.13054,-61.943,63.86932,63.86932
224,-66.13036,-61.94295,63.02627,63.02627
225,-66.13019,-61.9429,62.12513,62.12513
226,-66.13001,-61.94285,61.2066,61.2066
227,-66.12983,-61.9428,60.33336,60.33336
228,-66.12966,-61.94275,59.43287,59.43287
229,-66.12948,-61.94269,58.48555,58.48555
230,-66.1293,-61.94264,57.53289,57.53289
231,-66.12912,-61.94259,56.57715,56.57715
232,-66.12895,-61.94254,55.63814,55.63814
233,-66.12877,-61.94249,54.69419,54.69419
234,-66.12859,-61.94244,53.68152,53.68152
235,-66.12841,-61.94239,52.67588,52.67588
236,-66.12824,-61.94234,51.68544,51.68544
237,-66.12806,-61.94229,50.64799,50.64799
238,-66.12788,-61.94224,49.61443,49.61443
239,-66.1277,-61.94219,48.59136,48.59136
240,-66.12753,-61.94214,47.59523,47.59523
241,-66.12735,-61.94209,46.61282,46.61282
242,-66.12717,-61.94204,45.63555,45.63555
243,-66.12699,-61.94199,44.76052,44.76052
244,-66.12682,-61.94195,43.96689,43.96689
245,-66.12664,-61.9419,43.20256,43.20256
246,-66.12646,-61.94185,42.47093,42.47093
247,-66.12628,-61.9418,41.81135,41.81135
248,-66.12611,-61.94175,41.21323,41.21323
249,-66.12593,-61.9417,40.65717,40.65717
250,-66.12575,-61.94165,40.20214,40.20214
251,-66.12557,-61.9416,39.79183,39.79183
252,-66.1254,-61.94155,39.38879,39.38879
253,-66.12522,-61.9415,39.09949,39.09949
254,-66.12504,-61.94145,38.90819,38.90819
255,-66.12486,-61.9414,38.74548,38.74548
256,-66.12469,-61.94135,38.65952,38.65952
257,-66.12451,-61.9413,38.5863,38.5863
258,-66.12433,-61.94125,38.40495,38.40495
259,-66.12415,-61.9412,38.15495,38.15495
260,-66.12398,-61.94115,37.82699,37.82699
261,-66.1238,-61.94111,37.61213,37.61213
262,-66.12362,-61.94105,37.53356,37.53356
263,-66.12344,-61.941,37.53664,37.53664
264,-66.12327,-61.94095,37.55336,37.55336
265,-66.12309,-61.9409,37.52167,37.52167
266,-66.12291,-61.94085,37.43581,37.43581
267,-66.12273,-61.9408,37.29836,37.29836
268,-66.12256,-61.94075,37.16456,37.16456
269,-66.12238,-61.9407,37.04658,37.04658
270,-66.1222,-61.94065,36.91774,36.91774
271,-66.12202,-61.9406,36.81694,36.81694
272,-66.12185,-61.94055,36.76546,36.76546
273,-66.12167,-61.9405,36.7543,36.7543
274,-66.12149,-61.94045,36.74898,36.74898
275,-66.12131,-61.9404,36.71955,36.71955
276,-66.12114,-61.94035,36.61178,36.61178
277,-66.12096,-61.9403,36.49467,36.49467
278,-66.12078,-61.94025,36.39311,36.39311
279,-66.1206,-61.9402,36.30531,36.30531
280,-66.12043,-61.94015,36.19805,36.19805
281,-66.12025,-61.9401,36.06579,36.06579
282,-66.12007,-61.94005,36.00887,36.00887
283,-66.11989,-61.94,36.00505,36.00505
284,-66.11972,-61.93995,36.03585,36.03585
285,-66.11954,-61.9399,36.09514,36.09514
286,-66.11936,-61.93985,36.18485,36.18485
287,-66.11918,-61.9398,36.33436,36.33436
288,-66.11901,-61.93975,36.49002,36.49002
289,-66.11883,-61.9397,36.66399,36.66399
290,-66.11865,-61.93965,36.87532,36.87532
291,-66.11848,-61.9396,37.0893,37.0893
292,-66.1183,-61.93955,37.28247,37.28247
293,-66.11812,-61.93949,37.46293,37.46293
294,-66.11794,-61.93944,37.60666,37.60666
295,-66.11777,-61.93939,37.73614,37.73614
296,-66.11759,-61.93934,37.91141,37.91141
297,-66.11741,-61.93929,38.08255,38.08255
298,-66.11723,-61.93924,38.2179,38.2179
299,-66.11706,-61.93919,38.33184,38.33184
300,-66.11688,-61.93914,38.44416,38.44416
301,-66.1167,-61.93909,38.54927,38.54927
302,-66.11652,-61.93904,38.66279,38.66279
303,-66.11635,-61.939,38.79717,38.79717
304,-66.11617,-61.93895,38.93004,38.93004
305,-66.11599,-61.9389,39.05451,39.05451
306,-66.11581,-61.93885,39.16343,39.16343
307,-66.11564,-61.9388,39.28068,39.28068
308,-66.11546,-61.93875,39.43478,39.43478
309,-66.11528,-61.9387,39.5774,39.5774
310,-66.1151,-61.93865,39.72166,39.72166
311,-66.11493,-61.9386,39.89764,39.89764
312,-66.11475,-61.93855,40.063,40.063
313,-66.11457,-61.9385,40.21549,40.21549
314,-66.11439,-61.93845,40.35736,40.35736
315,-66.11422,-61.9384,40.51991,40.51991
316,-66.11404,-61.93835,40.69347,40.69347
317,-66.11386,-61.9383,40.83976,40.83976
318,-66.11368,-61.93825,40.99754,40.99754
319,-66.11351,-61.9382,41.17288,41.17288
320,-66.11333,-61.93815,41.33727,41.33727
321,-66.11315,-61.9381,41.45504,41.45504
322,-66.11297,-61.93805,41.5853,41.5853
323,-66.1128,-61.938,41.72867,41.72867
324,-66.11262,-61.93795,41.89132,41.89132
